Sell_Min_Jita,Sell_Median_Jita,Sell_Average_Jita,Sell_1st Percentile_Jita,Sell_Standard Deviation_Jita,Buy_Max_Jita,Buy_Median_Jita,Buy_Average_Jita,Buy_99th Percentile_Jita,Buy_Standard Deviation_Jita,Item,TypeID_Jita,Region_Jita,Timestamp,Sell_Min_CJ,Sell_Median_CJ,Sell_Average_CJ,Sell_1st Percentile_CJ,Sell_Standard Deviation_CJ,Buy_Max_CJ,Buy_Median_CJ,Buy_Average_CJ,Buy_99th Percentile_CJ,Buy_Standard Deviation_CJ,TypeID_CJ,Region_CJ,Sell_Diff,Buy_Diff
459.5,525.0,624.93,459.6,1124.16,405.2,1.15,7.66,405.0,147.9,Oxygen,3683,Jita,2025-10-21 19:08:33,495.7,510.0,535.22,495.7,87.65,423.0,0.03,0.05,414.3,96.19,3683,C-J6MT,36.19999999999999,17.80000000000001
5200.0,5339.0,5825.97,5319.0,181362.18,4899.0,4400.0,4086.05,4899.0,508.76,Strontium Clathrates,16275,Jita,2025-10-21 19:08:33,3379.0,3910.0,4016.08,3379.0,2049.34,2948.0,2519.0,2531.99,2947.0,227.99,16275,C-J6MT,-1821.0,-1951.0
12120.0,14000.0,14031.36,12120.0,8517.8,11670.0,29.5,511.68,11670.0,5472.02,Coolant,9832,Jita,2025-10-21 19:08:33,13820.0,15720.0,15543.17,13820.0,675.41,12510.0,12410.0,11379.6,12510.0,1528.02,9832,C-J6MT,1700.0,840.0
13820.0,14200.0,15367.72,13820.0,10235.87,13590.0,1.15,4.04,13590.0,4811.72,Enriched Uranium,44,Jita,2025-10-21 19:08:33,15870.0,16080.0,16487.56,15870.0,866.27,14170.0,14050.0,12808.04,14170.0,1685.61,44,C-J6MT,2050.0,580.0
12110.0,12570.0,12516.5,12120.0,345.41,11560.0,1.15,24.65,11560.0,4352.34,Mechanical Parts,3689,Jita,2025-10-21 19:08:33,12850.0,12920.0,13056.3,12850.0,495.77,12150.0,11210.0,10941.7,12150.0,1132.82,3689,C-J6MT,740.0,590.0
165.0,175.0,185.6,173.0,1452.94,140.4,119.4,58.82,140.0,55.5,Liquid Ozone,16273,Jita,2025-10-21 19:08:33,95.99,109.8,115.49,96.0,47.15,75.9,60.02,50.68,75.89,20.86,16273,C-J6MT,-69.01,-64.5
116.9,124.0,127.06,116.9,3245.23,107.0,12.07,23.14,107.0,38.04,Heavy Water,16272,Jita,2025-10-21 19:08:33,23.95,31.99,35.47,23.95,13.04,15.04,0.01,0.04,15.03,5.7,16272,C-J6MT,-92.95,-91.96000000000001
895.0,989.9,1107.19,903.5,337.16,865.7,0.15,1.05,865.1,346.69,Oxygen Isotopes,17887,Jita,2025-10-21 19:08:33,998.5,1056.0,1072.35,998.6,91.43,921.1,920.0,918.12,921.1,4.32,17887,C-J6MT,103.5,55.39999999999998
88800.0,93000.0,93706.49,89000.0,3756.73,83300.0,15.15,484.77,83200.0,30543.98,Robotics,9848,Jita,2025-10-21 19:08:33,89780.0,94000.0,94146.8,89790.0,735.96,84130.0,81480.0,82170.04,84130.0,1146.52,9848,C-J6MT,980.0,830.0
754.5,769.9,809.68,754.5,143.21,720.3,80.0,62.69,720.1,322.53,Hydrogen Isotopes,17889,Jita,2025-10-21 19:08:33,717.8,736.9,759.71,717.9,59.18,705.3,661.4,644.89,705.3,88.0,17889,C-J6MT,-36.700000000000045,-15.0
848.9,880.0,896.25,849.0,63.48,794.5,0.11,1.02,792.8,328.88,Nitrogen Isotopes,17888,Jita,2025-10-21 19:08:33,972.4,983.1,988.35,972.4,20.75,860.1,756.1,662.63,860.1,179.28,17888,C-J6MT,123.5,65.60000000000002
24120.0,24880.0,25567.03,24130.0,924268.26,23490.0,0.01,0.01,0.01,1925.44,Helium Fuel Block,4247,Jita,2025-10-21 19:08:33,25890.0,25900.0,26168.19,25890.0,302.99,23050.0,23000.0,21451.76,23030.0,1730.48,4247,C-J6MT,1770.0,-440.0
21350.0,22000.0,22188.89,21350.0,897.7,19480.0,0.01,0.01,0.15,1224.37,Hydrogen Fuel Block,4246,Jita,2025-10-21 19:08:33,18210.0,18800.0,19172.62,18220.0,857.19,16900.0,16360.0,16059.52,16900.0,1018.86,4246,C-J6MT,-3140.0,-2580.0
21310.0,21460.0,21982.68,21310.0,916.2,20240.0,0.01,0.01,0.15,1138.6,Nitrogen Fuel Block,4051,Jita,2025-10-21 19:08:33,24990.0,25700.0,25493.43,24990.0,432.68,21630.0,20040.0,20486.21,21620.0,707.22,4051,C-J6MT,3680.0,1390.0
21410.0,22890.0,22623.16,21410.0,1361.63,19700.0,0.01,0.01,0.15,886.41,Oxygen Fuel Block,4312,Jita,2025-10-21 19:08:33,23790.0,23970.0,24187.98,23790.0,624.68,22030.0,21710.0,21636.49,22010.0,522.87,4312,C-J6MT,2380.0,2330.0
1125.0,1125.0,1200.55,1125.0,125.42,1088.0,967.1,769.66,1088.0,261.36,Helium Isotopes,16274,Jita,2025-10-21 19:08:33,1143.0,1300.0,1269.56,1143.0,87.09,1024.0,1005.0,988.6,1024.0,38.6,16274,C-J6MT,18.0,-64.0
116.8,123.9,127.04,116.9,3242.63,107.1,12.07,23.16,107.0,38.07,Heavy Water,16272,Jita,2025-10-21 19:32:53,23.95,31.99,35.47,23.95,13.04,15.04,0.01,0.04,15.03,5.7,16272,C-J6MT,-92.85,-92.06
5319.0,5339.0,5826.83,5319.0,181484.52,4899.0,4400.0,4086.05,4899.0,508.76,Strontium Clathrates,16275,Jita,2025-10-21 19:32:53,3379.0,3910.0,4020.43,3600.0,2054.83,2948.0,2519.0,2531.99,2947.0,227.99,16275,C-J6MT,-1940.0,-1951.0
450.0,525.0,623.29,459.5,1120.1,405.0,1.15,7.47,400.1,146.43,Oxygen,3683,Jita,2025-10-21 19:32:53,495.7,510.0,535.22,495.7,87.65,423.0,0.03,0.05,414.3,96.19,3683,C-J6MT,45.69999999999999,18.0
12110.0,14000.0,14009.5,12110.0,8476.3,11670.0,29.5,511.68,11670.0,5472.02,Coolant,9832,Jita,2025-10-21 19:32:53,13820.0,15720.0,15543.17,13820.0,675.41,12510.0,12410.0,11379.6,12510.0,1528.02,9832,C-J6MT,1710.0,840.0
13810.0,14200.0,15367.65,13820.0,10235.66,13590.0,1.15,4.04,13590.0,4811.72,Enriched Uranium,44,Jita,2025-10-21 19:32:53,15870.0,16080.0,16487.56,15870.0,866.27,14170.0,14050.0,12808.04,14170.0,1685.61,44,C-J6MT,2060.0,580.0
89000.0,93520.0,93725.5,89000.0,3751.94,83300.0,15.15,484.77,83200.0,30543.98,Robotics,9848,Jita,2025-10-21 19:32:53,89780.0,94000.0,94146.8,89790.0,735.96,84130.0,81480.0,82170.04,84130.0,1146.52,9848,C-J6MT,780.0,830.0
165.0,175.0,185.6,173.0,1453.06,140.5,119.4,58.95,140.2,55.51,Liquid Ozone,16273,Jita,2025-10-21 19:32:53,95.98,107.0,114.94,95.98,46.7,75.9,60.02,50.68,75.89,20.86,16273,C-J6MT,-69.02,-64.6
12110.0,12570.0,12519.04,12130.0,344.96,11560.0,1.15,24.65,11560.0,4352.34,Mechanical Parts,3689,Jita,2025-10-21 19:32:53,12850.0,12920.0,13056.3,12850.0,495.77,12150.0,11210.0,10941.7,12150.0,1132.82,3689,C-J6MT,740.0,590.0
21340.0,22000.0,22186.96,21350.0,897.63,19480.0,0.01,0.01,0.15,1224.37,Hydrogen Fuel Block,4246,Jita,2025-10-21 19:32:53,18210.0,18800.0,19172.62,18220.0,857.19,16900.0,16360.0,16059.52,16900.0,1018.86,4246,C-J6MT,-3130.0,-2580.0
848.9,880.0,896.26,849.0,63.48,794.4,0.11,1.01,792.8,328.23,Nitrogen Isotopes,17888,Jita,2025-10-21 19:32:53,972.4,983.1,988.36,972.4,20.75,860.1,756.1,662.63,860.1,179.28,17888,C-J6MT,123.5,65.70000000000005
903.4,989.9,1108.35,903.4,337.57,865.8,0.15,1.06,865.1,346.81,Oxygen Isotopes,17887,Jita,2025-10-21 19:32:53,998.5,1056.0,1072.49,998.6,91.46,921.1,920.0,918.12,921.1,4.32,17887,C-J6MT,95.10000000000002,55.30000000000007
24110.0,24880.0,25552.07,24120.0,919655.83,23490.0,0.01,0.01,0.01,1925.44,Helium Fuel Block,4247,Jita,2025-10-21 19:32:53,25880.0,25900.0,26155.52,25880.0,302.16,23050.0,23000.0,21451.76,23030.0,1730.48,4247,C-J6MT,1770.0,-440.0
21310.0,21460.0,22014.32,21320.0,924.78,20050.0,0.01,0.01,0.15,1096.08,Nitrogen Fuel Block,4051,Jita,2025-10-21 19:32:53,24990.0,25700.0,25493.43,24990.0,432.68,21630.0,20040.0,20486.21,21620.0,707.22,4051,C-J6MT,3680.0,1580.0
21390.0,22890.0,22621.29,21410.0,1361.57,19700.0,0.01,0.01,0.15,886.41,Oxygen Fuel Block,4312,Jita,2025-10-21 19:32:53,23790.0,23970.0,24187.98,23790.0,624.68,22030.0,21710.0,21636.49,22010.0,522.87,4312,C-J6MT,2400.0,2330.0
754.5,775.0,810.36,754.8,143.89,720.3,80.0,62.69,720.1,322.53,Hydrogen Isotopes,17889,Jita,2025-10-21 19:32:53,717.8,736.9,760.04,717.9,59.28,705.3,661.4,644.89,705.3,88.0,17889,C-J6MT,-36.700000000000045,-15.0
1125.0,1125.0,1206.18,1125.0,127.86,1088.0,967.1,769.5,1088.0,261.39,Helium Isotopes,16274,Jita,2025-10-21 19:32:53,1143.0,1300.0,1269.56,1143.0,87.09,1024.0,1005.0,988.6,1024.0,38.6,16274,C-J6MT,18.0,-64.0
159.9,175.0,185.01,165.0,1441.62,152.3,132.0,69.14,151.0,55.44,Liquid Ozone,16273,Jita,2025-10-23 19:00:25,95.59,105.8,111.93,95.59,44.08,76.02,60.01,48.44,76.01,20.82,16273,C-J6MT,-64.31,-76.28000000000002
437.4,519.9,578.14,437.4,1014.62,404.3,1.15,10.95,404.3,165.59,Oxygen,3683,Jita,2025-10-23 19:00:25,509.0,510.0,564.27,509.0,112.93,445.0,0.03,0.06,426.1,106.56,3683,C-J6MT,71.60000000000002,40.69999999999999
13310.0,14000.0,14099.53,13310.0,8629.02,12400.0,11100.0,1219.88,12310.0,5706.69,Coolant,9832,Jita,2025-10-23 19:00:25,13810.0,15720.0,15597.52,13810.0,630.39,12600.0,12520.0,11469.2,12600.0,1554.67,9832,C-J6MT,500.0,200.0
14090.0,14900.0,15796.02,14100.0,11551.45,13830.0,1.15,7.29,13820.0,5556.27,Enriched Uranium,44,Jita,2025-10-23 19:00:25,15700.0,15870.0,16082.31,15850.0,502.06,14220.0,14050.0,12762.34,14220.0,1727.87,44,C-J6MT,1610.0,390.0
12170.0,12570.0,12575.25,12170.0,332.48,11720.0,1350.0,115.0,11720.0,5320.55,Mechanical Parts,3689,Jita,2025-10-23 19:00:25,12850.0,12920.0,13084.92,12850.0,534.17,12300.0,12070.0,11183.92,12300.0,1143.71,3689,C-J6MT,680.0,580.0
90210.0,92490.0,93555.96,90230.0,3659.56,86230.0,9249.0,872.46,86230.0,35712.95,Robotics,9848,Jita,2025-10-23 19:00:25,92990.0,94000.0,94026.0,92990.0,651.93,81610.0,81590.0,81569.3,81600.0,45.53,9848,C-J6MT,2780.0,-4620.0
115.5,121.1,126.69,115.8,3200.89,115.4,12.07,22.96,107.6,37.87,Heavy Water,16272,Jita,2025-10-23 19:00:25,30.3,31.99,37.31,30.3,11.96,15.15,0.01,0.03,15.14,5.27,16272,C-J6MT,-85.2,-100.25
4899.0,5500.0,5797.88,5000.0,184714.4,4803.0,4400.0,4039.21,4803.0,485.42,Strontium Clathrates,16275,Jita,2025-10-23 19:00:25,3788.0,3900.0,4021.66,3788.0,2239.43,3027.0,2519.0,2603.71,3027.0,294.0,16275,C-J6MT,-1111.0,-1776.0
1050.0,1238.0,1217.88,1050.0,144.65,980.0,861.2,589.28,980.0,305.99,Helium Isotopes,16274,Jita,2025-10-23 19:00:25,1114.0,1300.0,1276.12,1115.0,88.98,1050.0,953.2,968.34,1050.0,37.22,16274,C-J6MT,64.0,70.0
829.3,879.9,883.53,829.3,61.56,791.0,0.11,1.63,791.0,351.43,Nitrogen Isotopes,17888,Jita,2025-10-23 19:00:25,966.0,982.4,984.76,968.1,21.2,860.2,756.1,664.89,860.2,179.02,17888,C-J6MT,136.70000000000005,69.20000000000005
880.0,947.5,1078.3,880.0,328.98,871.1,0.15,1.04,871.1,346.36,Oxygen Isotopes,17887,Jita,2025-10-23 19:00:25,986.0,1017.0,1059.65,987.0,90.91,910.1,910.1,910.1,910.1,0.0,17887,C-J6MT,106.0,39.0
23800.0,24760.0,25745.67,23800.0,1063719.44,23790.0,0.01,0.01,0.01,1844.31,Helium Fuel Block,4247,Jita,2025-10-23 19:00:25,25880.0,25890.0,26174.75,25880.0,306.05,24040.0,24010.0,23083.42,24040.0,1849.38,4247,C-J6MT,2080.0,250.0
22330.0,22360.0,22700.43,22330.0,679.7,21000.0,0.01,0.01,0.15,1368.94,Hydrogen Fuel Block,4246,Jita,2025-10-23 19:00:25,18040.0,18800.0,19210.46,18050.0,936.11,16830.0,16360.0,16171.16,16830.0,1013.88,4246,C-J6MT,-4290.0,-4170.0
21170.0,21460.0,21913.01,21170.0,880.45,20340.0,0.01,0.01,0.15,983.7,Nitrogen Fuel Block,4051,Jita,2025-10-23 19:00:25,24930.0,24990.0,25243.23,24950.0,459.99,23510.0,20040.0,20797.24,23510.0,1156.45,4051,C-J6MT,3760.0,3170.0
763.0,793.6,841.44,764.0,168.57,705.0,80.0,46.95,705.0,310.28,Hydrogen Isotopes,17889,Jita,2025-10-23 19:00:25,706.9,736.9,755.85,706.9,62.9,663.4,661.4,624.88,663.4,95.54,17889,C-J6MT,-56.10000000000002,-41.60000000000002
21810.0,23110.0,23398.05,21810.0,1405.52,19800.0,0.01,0.01,0.15,1235.69,Oxygen Fuel Block,4312,Jita,2025-10-23 19:00:25,23690.0,24000.0,24284.89,23800.0,662.42,22020.0,21710.0,21647.92,22020.0,569.98,4312,C-J6MT,1880.0,2220.0
409.9,519.9,576.53,427.0,1019.75,340.1,1.15,6.83,340.1,140.07,Oxygen,3683,Jita,2025-10-25 18:53:02,500.0,510.0,557.72,500.0,109.4,426.2,0.03,0.06,424.8,100.98,3683,C-J6MT,90.10000000000002,86.09999999999997
13160.0,13680.0,13917.39,13190.0,7759.48,12580.0,29.5,573.85,12580.0,5758.56,Coolant,9832,Jita,2025-10-25 18:53:02,15100.0,15740.0,15736.86,15100.0,441.7,12830.0,12520.0,11197.97,12830.0,1675.2,9832,C-J6MT,1940.0,250.0
14130.0,14900.0,15887.29,14140.0,11855.0,13290.0,1.15,2.74,13290.0,4208.82,Enriched Uranium,44,Jita,2025-10-25 18:53:02,15810.0,15870.0,16090.94,15820.0,500.29,14240.0,14050.0,12903.59,14240.0,1689.71,44,C-J6MT,1680.0,950.0
12000.0,12630.0,12680.3,12250.0,297.86,11900.0,1.15,36.75,11730.0,4719.0,Mechanical Parts,3689,Jita,2025-10-25 18:53:02,12790.0,13000.0,13289.66,12890.0,696.99,12400.0,11210.0,11050.4,12360.0,1172.95,3689,C-J6MT,790.0,500.0
89350.0,92380.0,93073.36,89390.0,3743.63,86010.0,15.15,258.84,83330.0,21565.58,Robotics,9848,Jita,2025-10-25 18:53:02,92480.0,93780.0,93759.9,92490.0,831.6,82310.0,82000.0,81945.81,82310.0,325.73,9848,C-J6MT,3130.0,-3700.0
145.0,175.0,183.6,145.0,1412.34,139.9,132.0,64.8,139.9,55.5,Liquid Ozone,16273,Jita,2025-10-25 18:53:02,96.99,105.8,112.51,96.99,43.78,78.11,60.01,48.53,78.11,21.12,16273,C-J6MT,-48.010000000000005,-61.790000000000006
109.4,121.1,125.69,109.5,3094.59,99.67,12.07,23.67,99.66,37.31,Heavy Water,16272,Jita,2025-10-25 18:53:02,31.0,37.0,40.94,31.0,9.26,16.03,0.01,0.04,16.03,5.9,16272,C-J6MT,-78.4,-83.64
5000.0,5000.0,6277.91,5000.0,80263.86,4451.0,4400.0,4075.61,4451.0,470.24,Strontium Clathrates,16275,Jita,2025-10-25 18:53:02,3879.0,3887.0,4042.68,3879.0,2197.55,3300.0,2617.0,2668.41,3300.0,361.67,16275,C-J6MT,-1121.0,-1151.0
1215.0,1218.0,1280.59,1215.0,83.11,1000.0,861.3,635.79,1000.0,289.33,Helium Isotopes,16274,Jita,2025-10-25 18:53:02,1110.0,1300.0,1269.99,1110.0,95.06,1050.0,953.2,967.72,1050.0,36.57,16274,C-J6MT,-105.0,50.0
721.0,781.5,821.63,721.0,158.22,696.0,80.0,43.87,696.0,300.81,Hydrogen Isotopes,17889,Jita,2025-10-25 18:53:02,710.0,736.9,757.92,710.0,64.22,669.0,668.0,635.73,669.0,86.91,17889,C-J6MT,-11.0,-27.0
837.2,880.0,881.01,837.2,41.0,762.0,0.11,1.1,760.5,321.47,Nitrogen Isotopes,17888,Jita,2025-10-25 18:53:02,961.6,973.6,980.99,961.7,23.55,860.2,756.1,664.39,860.2,180.02,17888,C-J6MT,124.39999999999998,98.20000000000005
896.4,934.8,1070.04,896.4,325.5,878.0,0.15,1.19,876.5,356.99,Oxygen Isotopes,17887,Jita,2025-10-25 18:53:02,988.8,1070.0,1076.03,988.8,93.35,910.2,910.1,910.11,910.2,0.03,17887,C-J6MT,92.39999999999998,32.200000000000045
24230.0,24500.0,25713.87,24230.0,1046125.21,23650.0,0.01,0.01,0.01,1515.06,Helium Fuel Block,4247,Jita,2025-10-25 18:53:02,25840.0,25880.0,26038.26,25840.0,283.0,24500.0,24030.0,22594.81,24500.0,2254.02,4247,C-J6MT,1610.0,850.0
22050.0,22370.0,22684.59,22050.0,776.4,20010.0,0.01,0.01,0.15,1745.53,Hydrogen Fuel Block,4246,Jita,2025-10-25 18:53:02,18700.0,18800.0,19365.95,18700.0,914.51,16530.0,16360.0,16101.05,16530.0,1001.45,4246,C-J6MT,-3350.0,-3480.0
21380.0,22500.0,22530.68,21430.0,912.76,20590.0,0.01,0.01,0.15,1192.15,Nitrogen Fuel Block,4051,Jita,2025-10-25 18:53:02,24810.0,24870.0,24867.52,24810.0,33.17,21620.0,20040.0,20466.92,21620.0,697.45,4051,C-J6MT,3430.0,1030.0
22860.0,23440.0,24164.27,22860.0,1180.44,20640.0,0.01,0.01,0.15,1494.4,Oxygen Fuel Block,4312,Jita,2025-10-25 18:53:02,23760.0,24000.0,24311.91,23760.0,672.07,22030.0,21710.0,21706.96,22030.0,546.91,4312,C-J6MT,900.0,1390.0
409.9,519.9,576.53,427.0,1019.75,340.2,1.15,7.37,340.2,142.73,Oxygen,3683,Jita,2025-10-25 19:00:46,500.0,510.0,557.78,500.0,109.43,426.2,0.03,0.06,424.8,100.98,3683,C-J6MT,90.10000000000002,86.0
13100.0,13680.0,13916.58,13100.0,7764.81,12580.0,29.5,573.85,12580.0,5758.56,Coolant,9832,Jita,2025-10-25 19:00:46,15100.0,15740.0,15736.94,15100.0,441.67,12840.0,12520.0,11217.41,12840.0,1692.5,9832,C-J6MT,2000.0,260.0
14120.0,14900.0,15881.61,14140.0,11837.81,13290.0,1.15,2.74,13290.0,4208.82,Enriched Uranium,44,Jita,2025-10-25 19:00:46,15820.0,15870.0,16095.11,15820.0,502.88,14250.0,14050.0,12914.08,14250.0,1697.61,44,C-J6MT,1700.0,960.0
4453.0,5000.0,6280.29,5000.0,80330.6,4452.0,4400.0,4075.54,4451.0,470.32,Strontium Clathrates,16275,Jita,2025-10-25 19:00:46,3880.0,3913.0,4075.09,3887.0,2395.62,3301.0,2617.0,2668.14,3301.0,361.83,16275,C-J6MT,-573.0,-1151.0
89350.0,92380.0,93068.48,89390.0,3743.69,86010.0,15.15,258.84,83330.0,21565.58,Robotics,9848,Jita,2025-10-25 19:00:46,92490.0,93780.0,93771.38,92490.0,826.44,82310.0,82000.0,81945.81,82310.0,325.73,9848,C-J6MT,3140.0,-3700.0
145.0,175.0,183.6,145.0,1412.34,139.9,132.0,64.8,139.9,55.5,Liquid Ozone,16273,Jita,2025-10-25 19:00:46,98.93,105.8,112.81,98.99,44.09,78.12,60.01,48.57,78.12,21.2,16273,C-J6MT,-46.06999999999999,-61.78
109.5,121.1,125.77,109.5,3101.87,99.68,12.07,23.84,99.67,37.47,Heavy Water,16272,Jita,2025-10-25 19:00:46,31.0,37.0,41.12,31.0,9.24,16.03,0.01,0.04,16.03,5.9,16272,C-J6MT,-78.5,-83.65
11990.0,12580.0,12653.49,11990.0,320.23,11900.0,1.15,36.72,11730.0,4718.36,Mechanical Parts,3689,Jita,2025-10-25 19:00:46,12890.0,13000.0,13297.03,12890.0,699.94,12400.0,11210.0,11050.4,12360.0,1172.95,3689,C-J6MT,900.0,500.0
22860.0,23440.0,24198.56,22860.0,1175.8,20640.0,0.01,0.01,0.15,1494.4,Oxygen Fuel Block,4312,Jita,2025-10-25 19:00:46,23760.0,24000.0,24311.91,23760.0,672.07,22030.0,21710.0,21706.96,22030.0,546.91,4312,C-J6MT,900.0,1390.0
721.0,781.5,822.03,721.0,158.37,696.1,80.0,43.85,696.0,300.79,Hydrogen Isotopes,17889,Jita,2025-10-25 19:00:46,710.0,736.9,758.08,710.0,64.26,669.0,668.0,635.73,669.0,86.91,17889,C-J6MT,-11.0,-27.100000000000023
837.2,880.0,881.06,837.2,40.99,780.4,0.11,1.13,762.0,323.05,Nitrogen Isotopes,17888,Jita,2025-10-25 19:00:46,961.5,980.2,981.05,961.7,23.56,860.2,756.1,664.39,860.2,180.02,17888,C-J6MT,124.29999999999995,79.80000000000007
896.4,934.8,1070.12,896.4,325.54,878.1,0.15,1.19,876.5,357.0,Oxygen Isotopes,17887,Jita,2025-10-25 19:00:46,988.8,1070.0,1076.34,988.8,93.36,910.2,910.1,910.11,910.2,0.03,17887,C-J6MT,92.39999999999998,32.10000000000002
24230.0,24500.0,25713.87,24230.0,1046125.21,23650.0,0.01,0.01,0.01,1515.06,Helium Fuel Block,4247,Jita,2025-10-25 19:00:46,25840.0,25880.0,26038.65,25840.0,283.14,24500.0,24030.0,22594.81,24500.0,2254.02,4247,C-J6MT,1610.0,850.0
22040.0,22370.0,22673.02,22040.0,774.36,20010.0,0.01,0.01,0.15,1745.53,Hydrogen Fuel Block,4246,Jita,2025-10-25 19:00:46,18700.0,18800.0,19371.24,18700.0,916.21,16530.0,16360.0,16101.05,16530.0,1001.45,4246,C-J6MT,-3340.0,-3480.0
21460.0,23000.0,22583.25,21460.0,900.59,20590.0,0.01,0.01,0.15,1188.68,Nitrogen Fuel Block,4051,Jita,2025-10-25 19:00:46,24810.0,24870.0,24867.52,24810.0,33.17,21620.0,20040.0,20466.92,21620.0,697.45,4051,C-J6MT,3350.0,1030.0
1215.0,1218.0,1280.65,1216.0,83.12,1002.0,861.3,636.26,1000.0,289.22,Helium Isotopes,16274,Jita,2025-10-25 19:00:46,1109.0,1300.0,1270.14,1110.0,94.98,1050.0,953.2,967.72,1050.0,36.57,16274,C-J6MT,-106.0,48.0
21460.0,23000.0,22583.25,21460.0,900.59,20590.0,0.01,0.01,0.15,1188.68,Nitrogen Fuel Block,4051,Jita,2025-10-25 19:13:00,24810.0,24870.0,24867.52,24810.0,33.17,21620.0,20040.0,20466.92,21620.0,697.45,4051,C-J6MT,3350.0,1030.0
409.9,519.9,576.53,427.0,1019.75,340.2,1.15,7.37,340.2,142.73,Oxygen,3683,Jita,2025-10-25 19:13:00,500.0,510.0,557.78,500.0,109.43,426.2,0.03,0.06,424.8,100.98,3683,C-J6MT,90.10000000000002,86.0
13100.0,13680.0,13916.58,13100.0,7764.81,12580.0,29.5,573.85,12580.0,5758.56,Coolant,9832,Jita,2025-10-25 19:13:00,15100.0,15740.0,15736.94,15100.0,441.67,12840.0,12520.0,11217.41,12840.0,1692.5,9832,C-J6MT,2000.0,260.0
14120.0,14900.0,15881.61,14140.0,11837.81,13290.0,1.15,2.74,13290.0,4208.82,Enriched Uranium,44,Jita,2025-10-25 19:13:00,15820.0,15870.0,16095.11,15820.0,502.88,14250.0,14050.0,12914.08,14250.0,1697.61,44,C-J6MT,1700.0,960.0
11990.0,12580.0,12653.49,11990.0,320.23,11900.0,1.15,36.72,11730.0,4718.36,Mechanical Parts,3689,Jita,2025-10-25 19:13:00,12890.0,13000.0,13297.03,12890.0,699.94,12400.0,11210.0,11050.4,12360.0,1172.95,3689,C-J6MT,900.0,500.0
145.0,175.0,183.6,145.0,1412.34,139.9,132.0,64.8,139.9,55.5,Liquid Ozone,16273,Jita,2025-10-25 19:13:00,98.93,105.8,112.81,98.99,44.09,78.12,60.01,48.57,78.12,21.2,16273,C-J6MT,-46.06999999999999,-61.78
89350.0,92380.0,93068.48,89390.0,3743.69,86010.0,15.15,258.84,83330.0,21565.58,Robotics,9848,Jita,2025-10-25 19:13:00,92490.0,93780.0,93771.38,92490.0,826.44,82310.0,82000.0,81945.81,82310.0,325.73,9848,C-J6MT,3140.0,-3700.0
721.0,781.5,822.03,721.0,158.37,696.1,80.0,43.85,696.0,300.79,Hydrogen Isotopes,17889,Jita,2025-10-25 19:13:00,710.0,736.9,758.08,710.0,64.26,669.0,668.0,635.73,669.0,86.91,17889,C-J6MT,-11.0,-27.100000000000023
1215.0,1218.0,1280.65,1216.0,83.12,1002.0,861.3,636.26,1000.0,289.22,Helium Isotopes,16274,Jita,2025-10-25 19:13:00,1109.0,1300.0,1270.14,1110.0,94.98,1050.0,953.2,967.72,1050.0,36.57,16274,C-J6MT,-106.0,48.0
837.2,880.0,881.06,837.2,40.99,780.4,0.11,1.13,762.0,323.05,Nitrogen Isotopes,17888,Jita,2025-10-25 19:13:00,961.5,980.2,981.05,961.7,23.56,860.2,756.1,664.39,860.2,180.02,17888,C-J6MT,124.29999999999995,79.80000000000007
896.4,934.8,1070.12,896.4,325.54,878.1,0.15,1.19,876.5,357.0,Oxygen Isotopes,17887,Jita,2025-10-25 19:13:00,988.8,1070.0,1076.34,988.8,93.36,910.2,910.1,910.11,910.2,0.03,17887,C-J6MT,92.39999999999998,32.10000000000002
24230.0,24500.0,25713.87,24230.0,1046125.21,23650.0,0.01,0.01,0.01,1515.06,Helium Fuel Block,4247,Jita,2025-10-25 19:13:00,25840.0,25880.0,26038.65,25840.0,283.14,24500.0,24030.0,22594.81,24500.0,2254.02,4247,C-J6MT,1610.0,850.0
22040.0,22370.0,22673.02,22040.0,774.36,20010.0,0.01,0.01,0.15,1745.53,Hydrogen Fuel Block,4246,Jita,2025-10-25 19:13:00,18700.0,18800.0,19371.24,18700.0,916.21,16530.0,16360.0,16101.05,16530.0,1001.45,4246,C-J6MT,-3340.0,-3480.0
109.5,121.1,125.77,109.5,3101.87,99.68,12.07,23.84,99.67,37.47,Heavy Water,16272,Jita,2025-10-25 19:13:00,31.0,37.0,41.12,31.0,9.24,16.03,0.01,0.04,16.03,5.9,16272,C-J6MT,-78.5,-83.65
4453.0,5000.0,6280.29,5000.0,80330.6,4452.0,4400.0,4075.54,4451.0,470.32,Strontium Clathrates,16275,Jita,2025-10-25 19:13:00,3880.0,3913.0,4075.09,3887.0,2395.62,3301.0,2617.0,2668.14,3301.0,361.83,16275,C-J6MT,-573.0,-1151.0
22860.0,23440.0,24198.56,22860.0,1175.8,20640.0,0.01,0.01,0.15,1494.4,Oxygen Fuel Block,4312,Jita,2025-10-25 19:13:00,23760.0,24000.0,24311.91,23760.0,672.07,22030.0,21710.0,21706.96,22030.0,546.91,4312,C-J6MT,900.0,1390.0
